feed_copterspotter  | 2024-10-25 06:32:27,347 - feed_copterspotter - INFO - Heli Reported a62041: 1729837947.0 B407 N494PH  altbaro 1075 altgeom 1050 head 20.28 Lat: 38.805634, Lon: -76.849067 gs 98.1 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-25 06:32:57,543 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 38 times
feed_copterspotter  | 2024-10-25 06:32:57,543 - feed_copterspotter - INFO - Heli Reported a62041: 1729837977.0 B407 N494PH  altbaro 1075 altgeom 1050 head 19.54 Lat: 38.838043, Lon: -76.83402 gs 98.7 rssi -23.5 5202
feed_copterspotter  | 2024-10-25 06:33:27,803 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 39 times
feed_copterspotter  | 2024-10-25 06:33:27,803 - feed_copterspotter - INFO - Heli Reported a62041: 1729838007.0 B407 N494PH  altbaro 1075 altgeom 1050 head 19.73 Lat: 38.853424, Lon: -76.826855 gs 97.7 rssi -20.6 5202
feed_copterspotter  | 2024-10-25 06:33:57,994 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 40 times
feed_copterspotter  | 2024-10-25 06:33:57,994 - feed_copterspotter - INFO - Heli Reported a62041: 1729838037.0 B407 N494PH  altbaro 1075 altgeom 1050 head 20.28 Lat: 38.864787, Lon: -76.821655 gs 98.1 rssi -23.5 5202
feed_copterspotter  | 2024-10-25 06:34:28,179 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 41 times
feed_copterspotter  | 2024-10-25 06:34:28,179 - feed_copterspotter - INFO - Heli Reported a62041: 1729838068.0 B407 N494PH  altbaro 1075 altgeom 1050 head 20.08 Lat: 38.864787, Lon: -76.821655 gs 99.0 rssi -24.8 5202
feed_copterspotter  | 2024-10-25 06:34:58,370 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 42 times
feed_copterspotter  | 2024-10-25 06:34:58,370 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729838098.0 B407 N494PH  altbaro 1075 altgeom 1050 head 20.08 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 06:35:28,379 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 43 times
feed_copterspotter  | 2024-10-25 06:35:28,379 - feed_copterspotter - INFO - Heli Reported a62041: 1729838128.0 B407 N494PH  altbaro 1100 altgeom 1075 head 20.62 Lat: 38.902542, Lon: -76.803987 gs 99.4 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-25 06:35:58,562 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 44 times
feed_copterspotter  | 2024-10-25 06:35:58,562 - feed_copterspotter - INFO - Heli Reported a62041: 1729838158.0 B407 N494PH  altbaro 1075 altgeom 1050 head 18.43 Lat: 38.913248, Lon: -76.799072 gs 101.2 rssi -24.3 no squawk
feed_copterspotter  | 2024-10-25 06:36:28,758 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 45 times
feed_copterspotter  | 2024-10-25 06:36:28,759 - feed_copterspotter - INFO - Heli Reported a62041: 1729838188.0 B407 N494PH  altbaro 1075 altgeom 1050 head 18.43 Lat: 38.913248, Lon: -76.799072 gs 101.2 rssi -24.3 no squawk
feed_copterspotter  | 2024-10-25 06:58:29,287 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 45
feed_copterspotter  | 2024-10-25 07:29:02,155 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 45
feed_copterspotter  | 2024-10-25 07:42:33,023 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 46 times
feed_copterspotter  | 2024-10-25 07:42:33,024 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842152.001 B407 N494PH no call (N494PH) altbaro 1000 altgeom 975 head 180.0 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:43:03,237 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 47 times
feed_copterspotter  | 2024-10-25 07:43:03,238 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842183.001 B407 N494PH no call (N494PH) altbaro 1000 altgeom 975 head 180.0 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:46:34,694 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 48 times
feed_copterspotter  | 2024-10-25 07:46:34,694 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842394.0 B407 N494PH no call (N494PH) no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:47:04,888 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 49 times
feed_copterspotter  | 2024-10-25 07:47:04,888 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842424.0 B407 N494PH no call (N494PH) no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:47:35,090 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 50 times
feed_copterspotter  | 2024-10-25 07:47:35,091 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842454.0 B407 N494PH no call (N494PH) no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:48:05,278 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 51 times
feed_copterspotter  | 2024-10-25 07:48:05,278 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842485.0 B407 N494PH no call (N494PH) head 238.33 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:48:35,471 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 52 times
