group,tail,type,hex,operator,onMap?,callsign,radio callsign,year,details,parking spot,Notes,media,additional media,Bot Description
News,N98CL,B06,ADA908,NBC Chopper 4,TRUE,,,2005,Bell 206-L-4,"Ft Meade, MD",,https://twitter.com/markwclancy/status/1331346980174487558/photo/1,,
News,N9QD,B06,AC6BDC,Chopper 1 News,TRUE,,,1994,Bell 206B,"Ft Meade, MD",,,,
,,,,,,,,,,,,,,
Film,N355ER,AS50,A3F7D4,Elite Rotorcraft LLC,,,,,,,,,,
,,,,,,,,,,,,,,
DoE,N411DE,B412,A4D827,DoE radiation sensing,TRUE,,,1991,Bell 412-HP,Joint Base Andrews,,https://twitter.com/SkyCirclesDC/status/1275882998433382400/photo/2,https://flightaware.com/photos/view/8759250-c06389b76d2d7ebbb884d4091b44e3456ab4bc1b/aircrafttype/B412,
DoE,N412DE,B412,A4DBDE,DoE radiation sensing,TRUE,,Energy 12,1992,Bell 412-HP,Joint Base Andrews,,https://twitter.com/1crazyarchitect/status/1323332833386135552,https://flightaware.com/photos/view/312439-50142167fb602e5e7e7e4b7d8a92eaa47f4784f1/aircrafttype/BELL,
,,,,,,,,,,,,,,
EPA?,N894HA,B06,,,,,,,EPA Helicopter,,,https://blog.epa.gov/tag/helicopter-monitoring-program/,,
,,,,,,,,,,,,,,
DoJ?,N941JV,B407,,,,,,,US Department of Justice Helicopter (unconfirmed),,,,,
,,,,,,,,,,,,,,
USDA,N5187Y,H500,A6828B,USDA APHIS Wildlife Services,TRUE,,,,McDonnell-Douglas MH-6-B,,,Seen on ADSB,https://flightaware.com/photos/view/7065800-ed9a8d669ff970911d7a8bd7140ffddd3dfc7fd2/aircrafttype/H500,
,,,,,,,,,,,,,,
Private,N9233F,H500,ACCC16,"Bussman Aviation, aerial survey",TRUE,,,1975,Hughes 369HS,,,https://twitter.com/holy_itsViper/status/1374031290987651086,,
Private,N503W,B06,A64709,L&T Aviation Aerial Imaging,TRUE,,,,GV Air Inc Aerial Imaging Helicopter,,does link / details sync up with registration?,http://www.jsfirm.com/GV+Air+%2F+Vexcel+Imaging+Inc/19842/companyprofile,,
Private,N223KR,A139,A1ED17,seemingly private,TRUE,,,2013,AgustaWestland 139,,,https://twitter.com/1crazyarchitect/status/1335980790950268931,,
Private,N734HH,H500,A9DA9E ,"seemingly private, utility survey?",TRUE,,,1980,McDonnell Douglas 369D,,,seen on ADSB,https://flightaware.com/photos/view/8570953-c0ae5442907f5653a2f4a92bef34153d825cf4fe/aircrafttype/H500,
Private,N844VB,R44,AB9092,seemingly private,TRUE,,,2017,Robinson R44,,,,https://flightaware.com/photos/view/11781437-ecb45a4f36182419cd7c0e2b4f093113f84419d9/aircrafttype/R44I,
Private,N9CP,A139,AC6ABA,seemingly private,TRUE,,,2019 Agust,AgustaWestland 139,,,seen on ADSB,,
Private,N20LA,R44,A190A5,PR baseball team (Equipo Nacional),TRUE,,,2007,Robinson R44,"Ft Meade, MD",,seen on ADSB,https://flightaware.com/photos/view/6505391-e0cb644900bfb56320cb3614f860da6cf169078d/aircrafttype/R44,
Private,N85SK,EC130,ABA699,EC 130 LLC,TRUE,,,2012,Eurocopter EC130 B4,Leesburg Executive Airport,,Seen on ADSB; tracking blocked on FlightAware,,
Private,N1225D,EN28,A05E2B,private,TRUE,,,2011,Enstrom EN28,Potomac Airfield Airport,,seen on ADSB,,
,,,,,,,,,,,,,,
DHS,N844LC,S76,AB8FB2,DHS/CBP,TRUE,TROY 196,,1987,Sikorsky S-76B,Manassas Regional Airport,,https://twitter.com/districtheli/status/1385245239712100358/photo/1,https://www.thedrive.com/the-war-zone/33136/the-curious-case-of-customs-and-border-protections-mysterious-unmarked-s-76-helicopters,
DHS,N159CM,S76,A0EBDC,DHS/CBP,TRUE,TROY 194,,1987,Sikorsky S-76B,Manassas Regional Airport,,https://twitter.com/1crazyarchitect/status/1362113923361755141/photo/1,,Homeland Security/Customs and Border Patrol Helicopter
DHS,N269FL,S76,A2A0F4,DHS/CBP,TRUE,TROY,,1987,Sikorsky S-76B,Manassas Regional Airport,,https://twitter.com/lgnsnd/status/1319705054346203136/photo/1,https://flightaware.com/photos/view/432042-ed53148f107955f416d1eb9fa9adc2c481cafd54/aircrafttype/S76,
,,,,,,,,,,,,,,
DHS,N180Q,AS50,A1420A,DHS black/white/gray,TRUE,TROY 220,,2020,Eurocopter AS350-B3,,,https://twitter.com/districtheli/status/1384886125207171072/photo/1,,Homeland Security/Customs and Border Patrol
DHS,N322V,AS50,A37799,DHS blue/white/gray,TRUE,TROY 217,,2019,Eurocopter AS350-B3,,,https://twitter.com/holy_itsViper/status/1351347775175348224/photo/1,,Homeland Security/Customs and Border Patrol
DHS,N534P,AS50,A6C08E,DHS red/white,TRUE,TROY 171,,2018,Eurocopter AS350-B3,,,https://twitter.com/holy_itsViper/status/1351378410120114178,https://flightaware.com/photos/view/258061-cd3749b58d6f3e524fd1ea17fb86be1e7131b33c/aircrafttype/PA46,Homeland Security/Customs and Border Patrol
DHS,N927M,AS50,ACD93E,DHS black/white/gold,TRUE,TROY 218,,2020,Eurocopter AS350-B3,,,https://twitter.com/districtheli/status/1384192335211233283/photo/1,,Homeland Security/Customs and Border Patrol
DHS,N6974A,AS50,A9479C,DHS blue stripe,TRUE,TROY,,2012,Eurocopter AS350-B3,,,https://twitter.com/holy_itsViper/status/1351377817888550912/photo/1,https://flightaware.com/photos/view/12064501-022fa4b221fac74acd38922083830f10e066c96a/aircrafttype/EURO,Homeland Security/Customs and Border Patrol
DHS,N6977A,AS50,A94805,DHS blue stripe,TRUE,TROY,,2012,Eurocopter AS350-B3,,,https://twitter.com/ClayHaga7/status/903354535531483143/photo/1,https://flightaware.com/photos/view/3776636-8b9cf0f0a0e9d43675f7f2009fc894bf12632773/aircrafttype/AS50,Homeland Security/Customs and Border Patrol Helicopter
DHS/CBP,23321,H60,AE6987,CBP,,,79-23321,,Blackhawk UH-60A,,,https://twitter.com/holy_itsViper/status/1352064969806934019,,
DHS/CBP,23344,H60,AE698D,CBP,,,79-23344,,Blackhawk UH-60A,,,https://twitter.com/holy_itsViper/status/1352064969806934019,,
FBI,20715,H60,AE5B49,FBI/HRT,,YETI165?,14-20715,2014,Blackhawk UH-60M,,,https://twitter.com/markwclancy/status/1360289025551179776,,
FBI,N324FD,B429,A37DAD,FBI grey,TRUE,Yeti 166,,2018,Bell 429 GlobalRanger,,,https://twitter.com/Zwackleby/status/1379156566302154758/photo/1,,
FBI,N100WG,B429,A006AF,FBI blue,TRUE,Yeti 167,,2019,Bell 429 GlobalRanger,,,https://twitter.com/1crazyarchitect/status/1372978301376008205/photo/1,,
FBI,N983SV,B429,ADB7ED,FBI red,TRUE,Yeti 168,,2018,Bell 429 GlobalRanger,,,https://twitter.com/Zwackleby/status/1379156566302154758/photo/11,,
