feed_copterspotter  | 2024-10-28 00:09:00,737 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074140.001 MD52 N912PG GARDN2 altbaro 450 altgeom 775 head 173.37 Lat: 38.901077, Lon: -76.869188 gs 43.3 rssi -22.7 5142
feed_copterspotter  | 2024-10-28 00:09:00,912 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:09:30,914 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:09:30 UTC +0000 
feed_copterspotter  | 2024-10-28 00:09:30,925 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 165 times
feed_copterspotter  | 2024-10-28 00:09:30,926 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074170.001 MD52 N912PG GARDN2 altbaro 375 altgeom 700 head 173.37 Lat: 38.901077, Lon: -76.869188 gs 43.3 rssi -22.7 5142
feed_copterspotter  | 2024-10-28 00:09:31,098 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:10:01,100 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:10:01 UTC +0000 
feed_copterspotter  | 2024-10-28 00:10:01,111 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 166 times
feed_copterspotter  | 2024-10-28 00:10:01,112 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074201.001 MD52 N912PG GARDN2 altbaro 500 altgeom 825 head 315.0 Lat: 38.902728, Lon: -76.869934 gs 56.6 rssi -23.1 no squawk
feed_copterspotter  | 2024-10-28 00:10:01,292 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:10:31,295 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:10:31 UTC +0000 
feed_copterspotter  | 2024-10-28 00:10:31,319 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 167 times
feed_copterspotter  | 2024-10-28 00:10:31,319 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074231.001 MD52 N912PG GARDN2 altbaro 500 altgeom 825 head 315.0 Lat: 38.902728, Lon: -76.869934 gs 56.6 rssi -23.1 no squawk
feed_copterspotter  | 2024-10-28 00:10:31,505 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:11:01,509 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:11:01 UTC +0000 
feed_copterspotter  | 2024-10-28 00:11:01,524 - feed_copterspotter - INFO - Aircraft: a1ed17 is rotorcraft - Category: Unk flight: None tail: N223KR type: A139 seen: 1 times
feed_copterspotter  | 2024-10-28 00:11:01,524 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a1ed17: 1730074261.001 A139 N223KR no call (N223KR) no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-28 00:11:31,526 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:11:31 UTC +0000 
feed_copterspotter  | 2024-10-28 00:11:31,539 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 168 times
feed_copterspotter  | 2024-10-28 00:11:31,539 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074291.0 MD52 N912PG GARDN2 altbaro 700 altgeom 1025 head 191.63 Lat: 38.904602, Lon: -76.859098 gs 69.4 rssi -20.2 no squawk
feed_copterspotter  | 2024-10-28 00:11:31,716 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:11:31,718 - feed_copterspotter - INFO - Aircraft: a1ed17 is rotorcraft - Category: Unk flight: None tail: N223KR type: A139 seen: 2 times
feed_copterspotter  | 2024-10-28 00:11:31,718 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a1ed17: 1730074291.0 A139 N223KR no call (N223KR) no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-28 00:12:01,719 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:12:01 UTC +0000 
